[WARNING] 2026-05-23 08:13:05 | DataLoader | fastf1 kütüphanesi bulunamadı. Örnek veri kullanılacak.
[ERROR] 2026-05-23 08:13:05 | DataLoader | fastf1 yüklü değil. 'pip install fastf1' komutu çalıştırın.
[WARNING] 2026-05-23 08:13:05 | Utils | Belgium için örnek (simüle) veri üretiliyor.
[INFO] 2026-05-23 08:13:05 | DataLoader | Preprocessing başlıyor...
[INFO] 2026-05-23 08:13:05 | Preprocessing | Preprocessing started: Belgium (200 satır)
[INFO] 2026-05-23 08:13:05 | Preprocessing | Preprocessing tamamlandı: 200 satır (0 satır çıkarıldı).
[INFO] 2026-05-23 08:13:05 | Database | Belgium: 200 tur SQLite'a kaydedildi.
[INFO] 2026-05-23 08:13:05 | DataLoader | Feature engineering başlıyor...
[INFO] 2026-05-23 08:13:05 | FeatureEngineering | Feature engineering başladı: Belgium
[INFO] 2026-05-23 08:13:05 | FeatureEngineering | Feature engineering tamamlandı: 35 sütun mevcut.
[SUCCESS] 2026-05-23 08:13:05 | F1System | Belgium: İşlenmiş veri kaydedildi (200 tur).
[INFO] 2026-05-23 08:13:05 | EDA | EDA başlıyor: Belgium
[INFO] 2026-05-23 08:13:06 | EDA | EDA tamamlandı: Belgium
[INFO] 2026-05-23 08:13:06 | Analysis | Analizler başlıyor: Belgium
[INFO] 2026-05-23 08:13:06 | Analysis | Tüm analizler tamamlandı: Belgium
[INFO] 2026-05-23 08:13:06 | Models | ML pipeline başlıyor: Belgium
[SUCCESS] 2026-05-23 08:13:06 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:13:06 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:06 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:06 | F1System | ML pipeline tamamlandı: Belgium
[INFO] 2026-05-23 08:13:06 | Main | Decision Tree model trained.
[INFO] 2026-05-23 08:13:06 | Visualization | Grafik üretimi başlıyor: Belgium
[ERROR] 2026-05-23 08:13:06 | Visualization | Grafik üretim hatası: 'mean'
[INFO] 2026-05-23 08:13:06 | Visualization | Üretilen grafik sayısı: 3
[INFO] 2026-05-23 08:13:06 | ReportGenerator | Rapor üretiliyor: Belgium
[WARNING] 2026-05-23 08:13:06 | Main | Rapor hatası (Belgium): Invalid format specifier '.4f if rate else 'N/A'' for object of type 'float'
[SUCCESS] 2026-05-23 08:13:06 | F1System | Dashboard data is ready: Belgium (1.5s)
[INFO] 2026-05-23 08:13:06 | DataLoader | ==================================================
[INFO] 2026-05-23 08:13:06 | DataLoader | Yarış yükleniyor: Italy 2025
[WARNING] 2026-05-23 08:13:06 | DataLoader | fastf1 kütüphanesi bulunamadı. Örnek veri kullanılacak.
[ERROR] 2026-05-23 08:13:06 | DataLoader | fastf1 yüklü değil. 'pip install fastf1' komutu çalıştırın.
[WARNING] 2026-05-23 08:13:06 | Utils | Italy için örnek (simüle) veri üretiliyor.
[INFO] 2026-05-23 08:13:06 | DataLoader | Preprocessing başlıyor...
[INFO] 2026-05-23 08:13:06 | Preprocessing | Preprocessing started: Italy (200 satır)
[INFO] 2026-05-23 08:13:06 | Preprocessing | Preprocessing tamamlandı: 200 satır (0 satır çıkarıldı).
[INFO] 2026-05-23 08:13:06 | Database | Italy: 200 tur SQLite'a kaydedildi.
[INFO] 2026-05-23 08:13:06 | DataLoader | Feature engineering başlıyor...
[INFO] 2026-05-23 08:13:06 | FeatureEngineering | Feature engineering başladı: Italy
[INFO] 2026-05-23 08:13:06 | FeatureEngineering | Feature engineering tamamlandı: 35 sütun mevcut.
[SUCCESS] 2026-05-23 08:13:06 | F1System | Italy: İşlenmiş veri kaydedildi (200 tur).
[INFO] 2026-05-23 08:13:06 | EDA | EDA başlıyor: Italy
[INFO] 2026-05-23 08:13:07 | EDA | EDA tamamlandı: Italy
[INFO] 2026-05-23 08:13:07 | Analysis | Analizler başlıyor: Italy
[INFO] 2026-05-23 08:13:07 | Analysis | Tüm analizler tamamlandı: Italy
[INFO] 2026-05-23 08:13:07 | Models | ML pipeline başlıyor: Italy
